Node
AuthorID(STRING)	AuthorName(STRING)
344	Buchanan, G. B.
340	B. Buchanan
341	B. G. Buchanan
342	B.G. Buchanan
343	Buchanan, B. G.
2311	Upendra Shardanand
1780	A. W. Moore
1781	A.W. MOORE
108	H. Asama
1439	M. Li
1003	Juha Heikkila
879	P. Giblin
1224	R. Kelly
2307	M. Shanahan
249	Matthias A. Blumrich
248	B. Bloom
2198	Rymon, R.
2455	V.S. Subrahmanian
2053	R. Poulsen
2055	Prager, J.
2054	John Prager
2405	Gurindar S. Sohi
1618	R. Mantley
2542	S. Thrun
2544	S. Thrun
1768	A. W. Moore
1769	A. W. Moore
1763	A. Moore
1766	Andrew W. Moore
1767	Moore, Andrew W.
1764	Moore, A.
1765	Andrew W. Moore
692	J. Elgot-Drapkin
693	J. Elgot-Drapkin
546	G.B. DANTZIG
1782	A. W. Moore
1783	Moore, A. W.
1784	Moore, A. W.
1785	Moore, A. W.
1786	Moore, A. W.
1787	Moore, A. W.
2760	S.D. Whitehead
258	M. Blumrich
259	M. Blumrich
252	Matthias Blumrich
253	M. Blumrich
250	Matthias A. Blumrich
251	Matthias Blumrich
256	M. Blumrich
257	M. Blumrich
254	M. Blumrich
255	M. Blumrich
2200	Rymon, R.
803	Fox, S.
2845	N. Yankelovich
1775	A. W. Moore
1774	A. W. Moore
1777	A.W. Moore
1776	A. W. Moore
1771	A. W. Moore
1770	A. W. Moore
1773	A. W. Moore
1772	A. W. Moore
1779	A. W. Moore
1778	A. W. Moore
55	K.-D. Althoff
54	K.-D. Althoff
1399	V. Lesser
1398	V. R. Lesser
425	Clark , E. V.
427	Herbert H. Clark
426	Eve V. Clark
223	H. Berghuis
2436	H. van Staveren
2199	Rymon, R.
1807	K. Musumbu
1806	K. Musumbu
1808	K. Musumbu
0	A. Aamodt
1397	Lesser , V. R.
524	R.H. Crites
525	R. H. Crites
526	R. H. Crites
527	R. Crites
520	Crites R.H.
521	Crites, R. H.
522	Crites, R. H.
523	Crites, R. H.
528	R. Crites
234	W. Bibel
235	W. Bibel
236	W. Bibel
232	D. Beymer
233	B. Bhattacharya
2229	M Scardamalia
1	A. Aamodt
2538	S.B. Thrun
2539	Sebastian B. Thrun
2537	Throop, D.
2715	R. Weiss
2150	A.M. Richter
1487	Linoff, G.
1486	Linoff, G.
1485	Linoff, G.
1484	G. Linoff
1488	Gordon Linoff
1276	L. I. Kontothanassis
1000	Hebert, P.
2886	J. Zhou
2887	J. Zhou
2885	J. Zhou
2	A. Aamodt
11	Agnar Aamodt
10	Agnar Aamodt
13	A. L. Abbott
12	Agnar Aamodt
203	P.C. BELL
202	Bell , B.
2097	C. R. Ramakrishnan
2099	Ram, A.
2140	Reyle, U.
1922	A. Palmer
1923	P. Panangaden
1927	Pask, G.
3	A. Aamodt
1725	E. Milios
788	Fink, J.;
1038	K. Hiraki
1039	Haym Hirsh
4	A. Aamodt
2558	Torre , V.
2559	Torre V.
2392	D. Smith
2390	David Smith
